30b8060e82903fbb0fddb8e12b8af5280af518ba,KAP/PF
30b8060e82903fbb0fddb8e12b8af5280af518ba,KIV/BOPX
30b8060e82903fbb0fddb8e12b8af5280af518ba,KIV/PRJ5
30b8060e82903fbb0fddb8e12b8af5280af518ba,KAU/PO7
30b8060e82903fbb0fddb8e12b8af5280af518ba,KTD/BPUT
30b8060e82903fbb0fddb8e12b8af5280af518ba,KAU/AUKPA
30b8060e82903fbb0fddb8e12b8af5280af518ba,KFE/FP
30b8060e82903fbb0fddb8e12b8af5280af518ba,UJP/FPE3
30b8060e82903fbb0fddb8e12b8af5280af518ba,KEM/MAM
30b8060e82903fbb0fddb8e12b8af5280af518ba,KAU/FO7
30b8060e82903fbb0fddb8e12b8af5280af518ba,KVU/BPVT
30b8060e82903fbb0fddb8e12b8af5280af518ba,AKTIVITA
30b8060e82903fbb0fddb8e12b8af5280af518ba,KFI/BPS1F
30b8060e82903fbb0fddb8e12b8af5280af518ba,KFI/URKHB
30b8060e82903fbb0fddb8e12b8af5280af518ba,KČJ/L1M2
30b8060e82903fbb0fddb8e12b8af5280af518ba,KMO/MMT
